nombre,descripcion,duracion,precio,sesiones,descripcion_2,descripcion_3,descripcion_4
Depilación con hilo: bozo SJ,PRECIO ABONANDO EN EFECTIVO✨,15 min,$10.00,,,,
Depilación con hilo: mentón SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$10.00,,,,
Depilación con hilo: rostro completo SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$26.00,,,,
Laminado de cejas SJ,"PRECIO ABONANDO EN EFECTIVO✨

El laminado de cejas es un tratamiento que alisa y fija el vello de las cejas, logrando un efecto más ordenado, levantado y con mayor definición. Ideal para dar forma a cejas rebeldes o poco pobladas, dejando un acabado natural y duradero. ¡Cejas perfectamente moldeadas y con más volumen! ✨",40 min,$18.00,,,,
Laminado+ perfilado de cejas SJ,"PRECIO ABONANDO EN EFECTIVO✨

El laminado con perfilado combina dos técnicas: el laminado de cejas, que alisa y fija el vello, y el perfilado, que define su forma con pinza o hilo. El resultado es unas cejas perfectas, ordenadas, con volumen y con una forma bien definida. ¡Todo en un solo servicio para unas cejas impecables! ✨",1 hrs,$29.00,,,,
Perfilado de cejas+ bozo con hilo SJ,"PRECIO ABONANDO EN EFECTIVO✨

El perfilado con hilo es una técnica tradicional que ofrece un perfilado preciso y duradero para las cejas. Sus beneficios incluyen una depilación más limpia, ya que el hilo puede atrapar el vello más corto, y una definición más natural, sin irritación en la piel. Además, es ideal para quienes tienen piel sensible. ¡Cejas perfectamente definidas y con un acabado suave! ✨",35 min,$22.00,,,,
Perfilado de cejas con cera SJ,"PRECIO ABONANDO EN EFECTIVO✨

El perfilado cejas es una técnica que se utiliza para dar forma y definir las cejas con precisión. Se realiza para retirar el vello no deseado, creando una línea limpia y bien definida que resalta la expresión del rostro. ¡Ideal para unas cejas perfectamente perfiladas y naturales! ✨",15 min,$17.00,,,,
Perfilado de cejas con hilo SJ,"PRECIO ABONANDO EN EFECTIVO✨

El perfilado con hilo es una técnica tradicional que ofrece un perfilado preciso y duradero para las cejas. Sus beneficios incluyen una depilación más limpia, ya que el hilo puede atrapar el vello más corto, y una definición más natural, sin irritación en la piel. Además, es ideal para quienes tienen piel sensible. ¡Cejas perfectamente definidas y con un acabado suave! ✨",30 min,$17.00,,,,
Combo 1 Cera (media pierna+ cavado+ axila o/ bozo) SJ,PRECIO ABONANDO EN EFECTIVO✨,45 min,$17.00,,,,
Combo 2 cera (pierna entera+ cavado+ axila/ o bozo) SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$18.00,,,,
Combo 3 cera (pierna entera+ pelvis completa+ tira de cola+ axila+ bozo) SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$23.00,,,,
Combo 4 cera (rostro) SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$17.00,,,,
Combo 5 cera (Pelvis completa+ tira de cola) SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$17.00,,,,
Depilación con cera: Abdomen -SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$8.00,,,,
Depilación con cera: Axilas - SJ,PRECIO ABONANDO EN EFECTIVO✨,15 min,$9.00,,,,
Depilación con cera: Bozo - SJ,PRECIO ABONANDO EN EFECTIVO✨,15 min,$8.00,,,,
Depilación con cera: Brazos - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$13.00,,,,
Depilación con cera: Cavado Profundo - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$16.00,,,,
Depilación con cera: Cavado - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$9.00,,,,
Depilación con cera: Cejas (limpieza) - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$12.00,,,,
Depilación con cera: Cintura - SJ,PRECIO ABONANDO EN EFECTIVO✨,20 min,$9.00,,,,
Depilación con cera: Cuello - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$8.00,,,,
Depilación con cera: Dedos del pie/ empeine - SJ,PRECIO ABONANDO EN EFECTIVO✨,20 min,$8.00,,,,
Depilación con cera: Entrecejo - SJ,PRECIO ABONANDO EN EFECTIVO✨,20 min,$6.00,,,,
Depilación con cera: Espalda - SJ,PRECIO ABONANDO EN EFECTIVO✨,40 min,$13.00,,,,
Depilación con cera: Fosas nasales - SJ,PRECIO ABONANDO EN EFECTIVO✨,15 min,$8.00,,,,
Depilación con cera: Frente - SJ,PRECIO ABONANDO EN EFECTIVO✨,15 min,$8.00,,,,
Depilación con cera: Glúteos - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$13.00,,,,
Depilación con cera: Hombre Abdomen - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$10.00,,,,
Depilación con cera: Hombre Brazos -SJ,PRECIO ABONANDO EN EFECTIVO✨,40 min,$16.00,,,,
Depilación con cera: Hombre Cintura - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$13.00,,,,
Depilación con cera: Hombre Cuello - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$9.00,,,,
Depilación con cera: Hombre Espalda - SJ,PRECIO ABONANDO EN EFECTIVO✨,40 min,$17.00,,,,
Depilación con cera: Hombre Glúteos - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$23.00,,,,
Depilación con cera: Hombre Hombros - SJ,PRECIO ABONANDO EN EFECTIVO✨,25 min,$13.00,,,,
Depilación con cera: Hombre Pecho - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$16.00,,,,
Depilación con cera: Hombre Pelvis - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$23.00,,,,
Depilación con cera: Hombre Pierna entera - SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$26.00,,,,
Depilación con cera: Hombre Tira de cola - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$17.00,,,,
Depilación con cera: Media pelvis - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$9.00,,,,
Depilación con cera: Media pierna - SJ,PRECIO ABONANDO EN EFECTIVO✨,40 min,$12.00,,,,
Depilación con cera: Medio brazo - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$9.00,,,,
Depilación con cera: Medio glúteo - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$10.00,,,,
Depilación con cera: Mentón SJ,PRECIO ABONANDO EN EFECTIVO✨,20 min,$8.00,,,,
Depilación con cera: Muslo - SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$13.00,,,,
Depilación con cera: Oreja - SJ,PRECIO ABONANDO EN EFECTIVO✨,20 min,$7.00,,,,
Depilación con cera: Patillas - SJ,PRECIO ABONANDO EN EFECTIVO✨,20 min,$7.00,,,,
Depilación con cera: Pelvis completa -SJ,PRECIO ABONANDO EN EFECTIVO✨,30 min,$16.00,,,,
Depilación con cera: Pierna entera - SJ,PRECIO ABONANDO EN EFECTIVO✨,40 min,$13.00,,,,
Depilación con cera: Tira abdomen -SJ,PRECIO ABONANDO EN EFECTIVO✨,25 min,$8.00,,,,
Drenaje Corporal SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$29.00,,,,
Masaje Reductor+ Radiofrecuencia- SJ,"PRECIO ABONANDO EN EFECTIVO✨

Este servicio combina masaje reductor, y radiofrecuencia para reducir grasa localizada, tonificar y reafirmar la piel. Ideal para moldear el cuerpo, mejorar la circulación y reducir la celulitis. ¡Resultados visibles y duraderos! ✨",1 hrs,$34.00,,,,
Masaje Reductor- SJ,"PRECIO ABONANDO EN EFECTIVO✨

El masaje reductor es un tratamiento corporal que utiliza técnicas de masaje intensas para reducir la grasa localizada y mejorar la apariencia de la piel. Ayuda a tonificar y moldear áreas específicas del cuerpo, como abdomen, muslos y caderas, estimulando la circulación y reduciendo la celulitis. ¡Perfecto para lograr un cuerpo más firme y contorneado! ✨",1 hrs,$29.00,,,,
Pack 10 Radiofrecuencia corporal + ultracavitacion+ Ondas Rusas x8 sesiones- SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$161.00,,,,
Pack 11: Radiofrecuencia Corporal x 6- SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$115.00,(6 Sesiones),,,
Pack 12: Drenaje Corporal x4 SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$92.00,(4 Sesiones),,,
Pack 13: Masaje Reductor+ Radiofrecuencia x 6 sesiones- SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$149.00,,,,
Pack 14: Ultracavitación+ drenaje corporal x4 SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs 30 min,$103.00,(4 Sesiones),,,
Pack 1 : Radiofrecuencia Corporal (brazos y abdomen) SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$103.00,(8 Sesiones),,,
Pack 4: Radiofrecuencia Corporal (glúteos y piernas) SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$138.00,(8 Sesiones),,,
Pack 8: Radiofrecuencia Corpora+ Ultracavitación x8 SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$161.00,(8 Sesiones),,,
Pulido Corporal (brazos y piernas) - SJ,"PRECIO ABONANDO EN EFECTIVO✨

El pulido corporal es un tratamiento exfoliante que elimina células muertas, dejando la piel suave, hidratada y renovada. Se utiliza un exfoliante especial para mejorar la textura de la piel, eliminar impurezas y promover la circulación. Ideal para mantener la piel saludable y radiante. ¡Tu cuerpo más suave y luminoso! ✨",1 hrs,$23.00,,,,
Pulido Piernas - SJ,"PRECIO ABONANDO EN EFECTIVO✨


El pulido de piernas es un tratamiento exfoliante que elimina las células muertas de la piel, dejando las piernas suaves y con un brillo natural. Se realiza con productos especiales que ayudan a renovar la piel, mejorar su textura y promover una apariencia saludable. Ideal para suavizar la piel y preparar las piernas para el verano. ¡Piernas suaves, luminosas y renovadas! ✨",45 min,$14.00,,,,
Radiofrecuencia Corporal- SJ,"PRECIO ABONANDO EN EFECTIVO✨

La radiofrecuencia corporal es un tratamiento que utiliza ondas de radio para estimular la producción de colágeno, reafirmando y tonificando la piel. Ayuda a reducir la flacidez, mejorar la textura y combatir la celulitis, logrando un cuerpo más firme y renovado. ¡Ideal para lucir una piel más suave y firme! ✨",1 hrs,$23.00,,,,
Radiofrecuencia corporal+ultracavitacion- SJ,PRECIO ABONANDO EN EFECTIVO✨,1 hrs,$25.00,,,,
Ultracavitación- SJ,"PRECIO ABONANDO EN EFECTIVO✨

La ultracavitación corporal es un tratamiento que elimina grasa localizada mediante ultrasonido. Se aplica en zonas específicas del cuerpo para reducir medidas y mejorar el contorno. ¡Resultados visibles en pocas sesiones! ✨",30 min,$22.00,,,,
Limpieza de espalda - SJ,"PRECIO ABONANDO EN EFECTIVO✨

La limpieza de espalda es un tratamiento especializado para limpiar y purificar la piel de la espalda. Se realiza mediante exfoliación, extracción de impurezas y aplicación de mascarillas para tratar el exceso de grasa, puntos negros y posibles brotes. Ideal para mantener la piel de la espalda suave, limpia y libre de imperfecciones. ¡Tu espalda libre de impurezas y fresca! ✨",40 min,$26.00,,,,
Dermaplaning + Limpieza facial simple SJ,,1 hrs 30 min,$50.00,,,,
Dermaplaning SJ,,1 hrs,$30.00,,,,
Drenaje Linfático Facial- SJ,"PRECIO ABONANDO EN EFECTIVO✨

El drenaje linfático facial es un masaje terapéutico de 30 minutos que estimula el sistema linfático para eliminar toxinas, reducir la hinchazón y mejorar la circulación. Ayuda a desintoxicar la piel, dejándola más firme, fresca y relajada. ¡Un tratamiento rápido y efectivo para un rostro renovado!",1 hrs,$18.00,,,,
